delivery_delay,delivery_deviation_abs,order_value,product_count,avg_price_per_item,prior_orders,is_repeat_customer,purchase_month,purchase_dow,y_pred_proba,risk_flag
-5,5,141.9,1,141.9,0,0,5,3,0.1286551455868427,0
-5,5,27.19,1,27.19,0,0,5,0,0.1195242402618888,0
-2,2,86.22,1,86.22,0,0,3,4,0.1494271702790076,0
-12,12,43.62,1,43.62,0,0,10,3,0.08818923433415773,0
-8,8,196.89,1,196.89,0,0,11,1,0.1002762237129864,0
-12,12,166.98,1,166.98,0,0,4,3,0.10210591652677754,0
-12,12,35.379999999999995,1,35.379999999999995,0,0,4,4,0.10097575840176044,0
-10,10,419.18,2,209.59,0,0,2,2,0.1957244846420113,0
-28,28,150.12,1,150.12,0,0,3,5,0.05846137313250172,0
31,31,129.76,1,129.76,0,0,3,0,0.9709393003525094,1
-12,12,29.0,1,29.0,0,0,7,1,0.09021763054529129,0
-8,8,126.26,1,126.26,0,0,11,6,0.10751563987509806,0
-8,8,63.66,1,63.66,0,0,3,5,0.12202045653367219,0
-15,15,82.05,1,82.05,0,0,4,0,0.08510368288929944,0
-15,15,91.28,1,91.28,0,0,8,4,0.08428913163797565,0
-13,13,46.85,1,46.85,0,0,9,4,0.08822666256809635,0
-13,13,46.85,1,46.85,1,1,9,4,0.07613442366320627,0
-9,9,29.0,1,29.0,0,0,12,1,0.0913297773626391,0
-13,13,36.68,1,36.68,0,0,1,6,0.10685093598020506,0
-16,16,257.44,2,128.72,0,0,8,3,0.137123282245404,0
-15,15,78.42,1,78.42,0,0,6,0,0.08166094475814152,0
-9,9,27.75,1,27.75,0,0,8,1,0.0989069506889175,0
-8,8,20.75,1,20.75,0,0,5,6,0.11827044878240008,0
-14,14,362.36,4,90.59,0,0,7,3,0.3513332275357,0
-19,19,325.93,1,325.93,0,0,7,1,0.07381282254259816,0
2,2,61.8,1,61.8,0,0,3,0,0.19773829546063149,0
-14,14,212.16,2,106.08,0,0,8,3,0.14493938415908925,0
-33,33,76.11,1,76.11,0,0,1,5,0.04930636248933373,0
-13,13,297.14,1,297.14,0,0,4,0,0.09611598802803402,0
-20,20,192.83,1,192.83,0,0,6,2,0.07165706313948304,0
-28,28,117.94,1,117.94,0,0,8,5,0.052288611650956794,0
-15,15,155.65,1,155.65,0,0,10,1,0.07791097712843513,0
-7,7,99.82,1,99.82,0,0,1,3,0.12817781166795236,0
-4,4,74.82,2,37.41,0,0,8,3,0.1951958344795949,0
-15,15,122.07,1,122.07,0,0,7,5,0.08809563531066435,0
-19,19,58.86,1,58.86,0,0,4,2,0.07530773980709538,0
-21,21,91.21,2,45.605,0,0,8,3,0.107898769294633,0
